property_temp,timestamp,unit_of_measure_weather,temperature,weather_station_agency,weather_station_id,metering_point_id,property,unit_of_measure,value,consumption_from,consumption_to,consumption_value
temperature,2016-05-25,C,16.1632491748,local,TDS9,TDS9,energy,MWh,2879.68,2016-05-24,2016-05-25,1.0499999999997272
temperature,2016-05-25,C,16.1632491748,local,TDS9,TDS9,flow,m3,42700.3,2016-05-24,2016-05-25,15.200000000004366
temperature,2016-05-26,C,11.5736511151,local,TDS9,TDS9,energy,MWh,2880.75,2016-05-25,2016-05-26,1.0700000000001637
temperature,2016-05-26,C,11.5736511151,local,TDS9,TDS9,flow,m3,42715.7,2016-05-25,2016-05-26,15.39999999999418
temperature,2016-05-27,C,12.7121794621,local,TDS9,TDS9,energy,MWh,2881.8,2016-05-26,2016-05-27,1.050000000000182
temperature,2016-05-27,C,12.7121794621,local,TDS9,TDS9,flow,m3,42731.6,2016-05-26,2016-05-27,15.900000000001455
temperature,2016-05-28,C,13.0961308877,local,TDS9,TDS9,energy,MWh,2882.82,2016-05-27,2016-05-28,1.0199999999999818
temperature,2016-05-28,C,13.0961308877,local,TDS9,TDS9,flow,m3,42746,2016-05-27,2016-05-28,14.400000000001455
temperature,2016-05-29,C,14.1945603689,local,TDS9,TDS9,energy,MWh,2883.9,2016-05-28,2016-05-29,1.0799999999999272
temperature,2016-05-29,C,14.1945603689,local,TDS9,TDS9,flow,m3,42762.4,2016-05-28,2016-05-29,16.400000000001455
temperature,2016-05-30,C,17.021735549,local,TDS9,TDS9,energy,MWh,2885.04,2016-05-29,2016-05-30,1.1399999999998727
temperature,2016-05-30,C,17.021735549,local,TDS9,TDS9,flow,m3,42778.6,2016-05-29,2016-05-30,16.19999999999709
temperature,2016-05-31,C,20.3621569077,local,TDS9,TDS9,energy,MWh,2886.03,2016-05-30,2016-05-31,0.9900000000002365
temperature,2016-05-31,C,20.3621569077,local,TDS9,TDS9,flow,m3,42793.4,2016-05-30,2016-05-31,14.80000000000291
temperature,2016-06-01,C,20.8168487549,local,TDS9,TDS9,energy,MWh,2887,2016-05-31,2016-06-01,0.9699999999997999
temperature,2016-06-01,C,20.8168487549,local,TDS9,TDS9,flow,m3,42807.7,2016-05-31,2016-06-01,14.299999999995634
temperature,2016-06-02,C,22.2089326382,local,TDS9,TDS9,energy,MWh,2887.95,2016-06-01,2016-06-02,0.9499999999998181
temperature,2016-06-02,C,22.2089326382,local,TDS9,TDS9,flow,m3,42821.5,2016-06-01,2016-06-02,13.80000000000291
temperature,2016-06-03,C,23.0117181142,local,TDS9,TDS9,energy,MWh,2888.88,2016-06-02,2016-06-03,0.930000000000291
temperature,2016-06-03,C,23.0117181142,local,TDS9,TDS9,flow,m3,42834.8,2016-06-02,2016-06-03,13.30000000000291
temperature,2016-06-04,C,22.4557270209,local,TDS9,TDS9,energy,MWh,2889.82,2016-06-03,2016-06-04,0.9400000000000546
temperature,2016-06-04,C,22.4557270209,local,TDS9,TDS9,flow,m3,42848.6,2016-06-03,2016-06-04,13.799999999995634
temperature,2016-06-05,C,20.5656850338,local,TDS9,TDS9,energy,MWh,2890.81,2016-06-04,2016-06-05,0.9899999999997817
temperature,2016-06-05,C,20.5656850338,local,TDS9,TDS9,flow,m3,42862.5,2016-06-04,2016-06-05,13.900000000001455
temperature,2016-06-06,C,18.8207849662,local,TDS9,TDS9,energy,MWh,2891.7,2016-06-05,2016-06-06,0.8899999999998727
temperature,2016-06-06,C,18.8207849662,local,TDS9,TDS9,flow,m3,42875.6,2016-06-05,2016-06-06,13.099999999998545
temperature,2016-06-07,C,17.0441585382,local,TDS9,TDS9,energy,MWh,2892.69,2016-06-06,2016-06-07,0.9900000000002365
temperature,2016-06-07,C,17.0441585382,local,TDS9,TDS9,flow,m3,42890.3,2016-06-06,2016-06-07,14.700000000004366
temperature,2016-06-08,C,17.831369559,local,TDS9,TDS9,energy,MWh,2893.65,2016-06-07,2016-06-08,0.9600000000000364
temperature,2016-06-08,C,17.831369559,local,TDS9,TDS9,flow,m3,42904.4,2016-06-07,2016-06-08,14.099999999998545
temperature,2016-06-09,C,15.0936050415,local,TDS9,TDS9,energy,MWh,2894.58,2016-06-08,2016-06-09,0.9299999999998363
temperature,2016-06-09,C,15.0936050415,local,TDS9,TDS9,flow,m3,42918.4,2016-06-08,2016-06-09,14
temperature,2016-06-10,C,13.9927270412,local,TDS9,TDS9,energy,MWh,2895.57,2016-06-09,2016-06-10,0.9900000000002365
temperature,2016-06-10,C,13.9927270412,local,TDS9,TDS9,flow,m3,42933,2016-06-09,2016-06-10,14.599999999998545
temperature,2016-06-11,C,13.1026457151,local,TDS9,TDS9,energy,MWh,2896.54,2016-06-10,2016-06-11,0.9699999999997999
temperature,2016-06-11,C,13.1026457151,local,TDS9,TDS9,flow,m3,42947.7,2016-06-10,2016-06-11,14.69999999999709
temperature,2016-06-12,C,13.047472318,local,TDS9,TDS9,energy,MWh,2897.57,2016-06-11,2016-06-12,1.0300000000002
temperature,2016-06-12,C,13.047472318,local,TDS9,TDS9,flow,m3,42963.3,2016-06-11,2016-06-12,15.60000000000582
temperature,2016-06-13,C,14.4359648625,local,TDS9,TDS9,energy,MWh,2898.56,2016-06-12,2016-06-13,0.9899999999997817
temperature,2016-06-13,C,14.4359648625,local,TDS9,TDS9,flow,m3,42977.2,2016-06-12,2016-06-13,13.89999999999418
temperature,2016-06-14,C,16.0744535128,local,TDS9,TDS9,energy,MWh,2899.5,2016-06-13,2016-06-14,0.9400000000000546
temperature,2016-06-14,C,16.0744535128,local,TDS9,TDS9,flow,m3,42991.7,2016-06-13,2016-06-14,14.5
temperature,2016-06-15,C,15.9603324334,local,TDS9,TDS9,energy,MWh,2900.44,2016-06-14,2016-06-15,0.9400000000000546
temperature,2016-06-15,C,15.9603324334,local,TDS9,TDS9,flow,m3,43005.7,2016-06-14,2016-06-15,14
temperature,2016-06-16,C,15.7348224322,local,TDS9,TDS9,energy,MWh,2901.41,2016-06-15,2016-06-16,0.9699999999997999
temperature,2016-06-16,C,15.7348224322,local,TDS9,TDS9,flow,m3,43020.6,2016-06-15,2016-06-16,14.900000000001455
temperature,2016-06-17,C,16.7231658697,local,TDS9,TDS9,energy,MWh,2902.37,2016-06-16,2016-06-17,0.9600000000000364
temperature,2016-06-17,C,16.7231658697,local,TDS9,TDS9,flow,m3,43034.7,2016-06-16,2016-06-17,14.099999999998545
temperature,2016-06-18,C,16.6967809995,local,TDS9,TDS9,energy,MWh,2903.32,2016-06-17,2016-06-18,0.9500000000002728
temperature,2016-06-18,C,16.6967809995,local,TDS9,TDS9,flow,m3,43048.7,2016-06-17,2016-06-18,14
temperature,2016-06-19,C,15.7570276658,local,TDS9,TDS9,energy,MWh,2904.32,2016-06-18,2016-06-19,1
temperature,2016-06-19,C,15.7570276658,local,TDS9,TDS9,flow,m3,43063.6,2016-06-18,2016-06-19,14.900000000001455
temperature,2016-06-20,C,13.8425445954,local,TDS9,TDS9,energy,MWh,2905.35,2016-06-19,2016-06-20,1.0299999999997453
temperature,2016-06-20,C,13.8425445954,local,TDS9,TDS9,flow,m3,43079.1,2016-06-19,2016-06-20,15.5
temperature,2016-06-21,C,14.1726816495,local,TDS9,TDS9,energy,MWh,2906.31,2016-06-20,2016-06-21,0.9600000000000364
temperature,2016-06-21,C,14.1726816495,local,TDS9,TDS9,flow,m3,43094.2,2016-06-20,2016-06-21,15.099999999998545
temperature,2016-06-22,C,15.5054870447,local,TDS9,TDS9,energy,MWh,2907.28,2016-06-21,2016-06-22,0.9700000000002547
temperature,2016-06-22,C,15.5054870447,local,TDS9,TDS9,flow,m3,43109.1,2016-06-21,2016-06-22,14.900000000001455
temperature,2016-06-23,C,16.3346159061,local,TDS9,TDS9,energy,MWh,2908.32,2016-06-22,2016-06-23,1.0399999999999636
temperature,2016-06-23,C,16.3346159061,local,TDS9,TDS9,flow,m3,43125.8,2016-06-22,2016-06-23,16.700000000004366
temperature,2016-06-24,C,17.3281780481,local,TDS9,TDS9,energy,MWh,2909.29,2016-06-23,2016-06-24,0.9699999999997999
temperature,2016-06-24,C,17.3281780481,local,TDS9,TDS9,flow,m3,43141.2,2016-06-23,2016-06-24,15.39999999999418
temperature,2016-06-25,C,19.9404063225,local,TDS9,TDS9,energy,MWh,2910.37,2016-06-24,2016-06-25,1.0799999999999272
temperature,2016-06-25,C,19.9404063225,local,TDS9,TDS9,flow,m3,43158,2016-06-24,2016-06-25,16.80000000000291
temperature,2016-06-26,C,18.5568005244,local,TDS9,TDS9,energy,MWh,2911.31,2016-06-25,2016-06-26,0.9400000000000546
temperature,2016-06-26,C,18.5568005244,local,TDS9,TDS9,flow,m3,43171.5,2016-06-25,2016-06-26,13.5
temperature,2016-06-27,C,18.3354250987,local,TDS9,TDS9,energy,MWh,2912.22,2016-06-26,2016-06-27,0.9099999999998545
temperature,2016-06-27,C,18.3354250987,local,TDS9,TDS9,flow,m3,43185.4,2016-06-26,2016-06-27,13.900000000001455
temperature,2016-06-28,C,16.0530772209,local,TDS9,TDS9,energy,MWh,2913.12,2016-06-27,2016-06-28,0.900000000000091
temperature,2016-06-28,C,16.0530772209,local,TDS9,TDS9,flow,m3,43199.3,2016-06-27,2016-06-28,13.900000000001455
temperature,2016-06-29,C,15.4533979098,local,TDS9,TDS9,energy,MWh,2914.05,2016-06-28,2016-06-29,0.930000000000291
temperature,2016-06-29,C,15.4533979098,local,TDS9,TDS9,flow,m3,43213.5,2016-06-28,2016-06-29,14.19999999999709
temperature,2016-06-30,C,15.3179771105,local,TDS9,TDS9,energy,MWh,2914.13,2016-06-29,2016-06-30,0.07999999999992724
temperature,2016-06-30,C,15.3179771105,local,TDS9,TDS9,flow,m3,43214.9,2016-06-29,2016-06-30,1.4000000000014552
temperature,2016-07-01,C,14.7792678674,local,TDS9,TDS9,energy,MWh,2915.16,2016-06-30,2016-07-01,1.0299999999997453
temperature,2016-07-01,C,14.7792678674,local,TDS9,TDS9,flow,m3,43231.3,2016-06-30,2016-07-01,16.400000000001455
temperature,2016-07-02,C,15.5563631852,local,TDS9,TDS9,energy,MWh,2916.11,2016-07-01,2016-07-02,0.9500000000002728
temperature,2016-07-02,C,15.5563631852,local,TDS9,TDS9,flow,m3,43245.2,2016-07-01,2016-07-02,13.89999999999418
temperature,2016-07-03,C,15.7327273687,local,TDS9,TDS9,energy,MWh,2917.19,2016-07-02,2016-07-03,1.0799999999999272
temperature,2016-07-03,C,15.7327273687,local,TDS9,TDS9,flow,m3,43261,2016-07-02,2016-07-03,15.80000000000291
temperature,2016-07-04,C,14.2990421851,local,TDS9,TDS9,energy,MWh,2918.29,2016-07-03,2016-07-04,1.099999999999909
temperature,2016-07-04,C,14.2990421851,local,TDS9,TDS9,flow,m3,43277.7,2016-07-03,2016-07-04,16.69999999999709
temperature,2016-07-05,C,14.5061544577,local,TDS9,TDS9,energy,MWh,2919.27,2016-07-04,2016-07-05,0.9800000000000182
temperature,2016-07-05,C,14.5061544577,local,TDS9,TDS9,flow,m3,43292,2016-07-04,2016-07-05,14.30000000000291
temperature,2016-07-06,C,14.8450168769,local,TDS9,TDS9,energy,MWh,2920.18,2016-07-05,2016-07-06,0.9099999999998545
temperature,2016-07-06,C,14.8450168769,local,TDS9,TDS9,flow,m3,43305.9,2016-07-05,2016-07-06,13.900000000001455
temperature,2016-07-07,C,14.6944313049,local,TDS9,TDS9,energy,MWh,2921.17,2016-07-06,2016-07-07,0.9900000000002365
temperature,2016-07-07,C,14.6944313049,local,TDS9,TDS9,flow,m3,43321.3,2016-07-06,2016-07-07,15.400000000001455
temperature,2016-07-08,C,15.2272854646,local,TDS9,TDS9,energy,MWh,2922.1,2016-07-07,2016-07-08,0.9299999999998363
temperature,2016-07-08,C,15.2272854646,local,TDS9,TDS9,flow,m3,43335.7,2016-07-07,2016-07-08,14.39999999999418
temperature,2016-07-09,C,15.9745491346,local,TDS9,TDS9,energy,MWh,2923.08,2016-07-08,2016-07-09,0.9800000000000182
temperature,2016-07-09,C,15.9745491346,local,TDS9,TDS9,flow,m3,43351.2,2016-07-08,2016-07-09,15.5
temperature,2016-07-10,C,15.3572385708,local,TDS9,TDS9,energy,MWh,2924.05,2016-07-09,2016-07-10,0.9700000000002547
temperature,2016-07-10,C,15.3572385708,local,TDS9,TDS9,flow,m3,43366.8,2016-07-09,2016-07-10,15.60000000000582
temperature,2016-07-11,C,16.57277143,local,TDS9,TDS9,energy,MWh,2925.06,2016-07-10,2016-07-11,1.0099999999997635
temperature,2016-07-11,C,16.57277143,local,TDS9,TDS9,flow,m3,43382.8,2016-07-10,2016-07-11,16
temperature,2016-07-12,C,16.6926793655,local,TDS9,TDS9,energy,MWh,2925.99,2016-07-11,2016-07-12,0.9299999999998363
temperature,2016-07-12,C,16.6926793655,local,TDS9,TDS9,flow,m3,43397.6,2016-07-11,2016-07-12,14.799999999995634
temperature,2016-07-13,C,16.0430362622,local,TDS9,TDS9,energy,MWh,2926.93,2016-07-12,2016-07-13,0.9400000000000546
temperature,2016-07-13,C,16.0430362622,local,TDS9,TDS9,flow,m3,43411,2016-07-12,2016-07-13,13.400000000001455
temperature,2016-07-14,C,15.1407874028,local,TDS9,TDS9,energy,MWh,2927.9,2016-07-13,2016-07-14,0.9700000000002547
temperature,2016-07-14,C,15.1407874028,local,TDS9,TDS9,flow,m3,43424.8,2016-07-13,2016-07-14,13.80000000000291
temperature,2016-07-15,C,15.8019631306,local,TDS9,TDS9,energy,MWh,2928.87,2016-07-14,2016-07-15,0.9699999999997999
temperature,2016-07-15,C,15.8019631306,local,TDS9,TDS9,flow,m3,43439.2,2016-07-14,2016-07-15,14.39999999999418
temperature,2016-07-16,C,16.7491048972,local,TDS9,TDS9,energy,MWh,2929.86,2016-07-15,2016-07-16,0.9900000000002365
temperature,2016-07-16,C,16.7491048972,local,TDS9,TDS9,flow,m3,43453.7,2016-07-15,2016-07-16,14.5
temperature,2016-07-17,C,15.8183865945,local,TDS9,TDS9,energy,MWh,2930.84,2016-07-16,2016-07-17,0.9800000000000182
temperature,2016-07-17,C,15.8183865945,local,TDS9,TDS9,flow,m3,43468.1,2016-07-16,2016-07-17,14.400000000001455
temperature,2016-07-18,C,15.4100451072,local,TDS9,TDS9,energy,MWh,2931.88,2016-07-17,2016-07-18,1.0399999999999636
temperature,2016-07-18,C,15.4100451072,local,TDS9,TDS9,flow,m3,43483.3,2016-07-17,2016-07-18,15.200000000004366
temperature,2016-07-19,C,15.8247808218,local,TDS9,TDS9,energy,MWh,2932.88,2016-07-18,2016-07-19,1
temperature,2016-07-19,C,15.8247808218,local,TDS9,TDS9,flow,m3,43499.4,2016-07-18,2016-07-19,16.099999999998545
temperature,2016-07-20,C,16.3523089886,local,TDS9,TDS9,energy,MWh,2933.81,2016-07-19,2016-07-20,0.9299999999998363
temperature,2016-07-20,C,16.3523089886,local,TDS9,TDS9,flow,m3,43515.4,2016-07-19,2016-07-20,16
temperature,2016-07-21,C,17.9431062937,local,TDS9,TDS9,energy,MWh,2934.8,2016-07-20,2016-07-21,0.9900000000002365
temperature,2016-07-21,C,17.9431062937,local,TDS9,TDS9,flow,m3,43530.5,2016-07-20,2016-07-21,15.099999999998545
temperature,2016-07-22,C,20.7953538895,local,TDS9,TDS9,energy,MWh,2935.75,2016-07-21,2016-07-22,0.9499999999998181
temperature,2016-07-22,C,20.7953538895,local,TDS9,TDS9,flow,m3,43545.2,2016-07-21,2016-07-22,14.69999999999709
temperature,2016-07-23,C,21.2762680848,local,TDS9,TDS9,energy,MWh,2936.68,2016-07-22,2016-07-23,0.9299999999998363
temperature,2016-07-23,C,21.2762680848,local,TDS9,TDS9,flow,m3,43559.2,2016-07-22,2016-07-23,14
temperature,2016-07-24,C,20.6042172909,local,TDS9,TDS9,energy,MWh,2937.56,2016-07-23,2016-07-24,0.8800000000001091
temperature,2016-07-24,C,20.6042172909,local,TDS9,TDS9,flow,m3,43572,2016-07-23,2016-07-24,12.80000000000291
temperature,2016-07-25,C,21.8460017045,local,TDS9,TDS9,energy,MWh,2938.46,2016-07-24,2016-07-25,0.900000000000091
temperature,2016-07-25,C,21.8460017045,local,TDS9,TDS9,flow,m3,43586.1,2016-07-24,2016-07-25,14.099999999998545
temperature,2016-07-26,C,21.2095173995,local,TDS9,TDS9,energy,MWh,2939.41,2016-07-25,2016-07-26,0.9499999999998181
temperature,2016-07-26,C,21.2095173995,local,TDS9,TDS9,flow,m3,43601.3,2016-07-25,2016-07-26,15.200000000004366
temperature,2016-07-27,C,18.6537096103,local,TDS9,TDS9,energy,MWh,2940.31,2016-07-26,2016-07-27,0.900000000000091
temperature,2016-07-27,C,18.6537096103,local,TDS9,TDS9,flow,m3,43615.5,2016-07-26,2016-07-27,14.19999999999709
temperature,2016-07-28,C,18.251052022,local,TDS9,TDS9,energy,MWh,2941.2,2016-07-27,2016-07-28,0.8899999999998727
temperature,2016-07-28,C,18.251052022,local,TDS9,TDS9,flow,m3,43628.9,2016-07-27,2016-07-28,13.400000000001455
temperature,2016-07-29,C,17.5598893166,local,TDS9,TDS9,energy,MWh,2942.07,2016-07-28,2016-07-29,0.8700000000003456
temperature,2016-07-29,C,17.5598893166,local,TDS9,TDS9,flow,m3,43643.2,2016-07-28,2016-07-29,14.299999999995634
temperature,2016-07-30,C,17.739755551,local,TDS9,TDS9,energy,MWh,2942.95,2016-07-29,2016-07-30,0.8799999999996544
temperature,2016-07-30,C,17.739755551,local,TDS9,TDS9,flow,m3,43657,2016-07-29,2016-07-30,13.80000000000291
